"ID","File","RelativePath","SizeBytes","SizeKB"
"1994541","1994541.wem","th4_000_common_vo\english(us)\1994541.wem","11063","10,8"
"2259156","2259156.wem","th4_000_common_vo\english(us)\2259156.wem","69591","67,96"
"2575341","2575341.wem","th4_000_common_vo\english(us)\2575341.wem","44809","43,76"
"3425580","3425580.wem","th4_000_common_vo\english(us)\3425580.wem","37246","36,37"
"4880661","4880661.wem","th4_000_common_vo\english(us)\4880661.wem","21878","21,37"
"6141113","6141113.wem","th4_000_common_vo\english(us)\6141113.wem","71985","70,3"
"6343934","6343934.wem","th4_000_common_vo\english(us)\6343934.wem","54356","53,08"
"6407439","6407439.wem","th4_000_common_vo\english(us)\6407439.wem","40517","39,57"
"7390073","7390073.wem","th4_000_common_vo\english(us)\7390073.wem","59265","57,88"
"8118526","8118526.wem","th4_000_common_vo\english(us)\8118526.wem","17626","17,21"
"9381084","9381084.wem","th4_000_common_vo\english(us)\9381084.wem","15903","15,53"
"11743198","11743198.wem","th4_000_common_vo\english(us)\11743198.wem","41060","40,1"
"11950871","11950871.wem","th4_000_common_vo\english(us)\11950871.wem","17089","16,69"
"14026281","14026281.wem","th4_000_common_vo\english(us)\14026281.wem","27864","27,21"
"14140737","14140737.wem","th4_000_common_vo\english(us)\14140737.wem","36048","35,2"
"14441920","14441920.wem","th4_000_common_vo\english(us)\14441920.wem","56158","54,84"
"15140111","15140111.wem","th4_000_common_vo\english(us)\15140111.wem","9769","9,54"
"15806715","15806715.wem","th4_000_common_vo\english(us)\15806715.wem","22583","22,05"
"16292482","16292482.wem","th4_000_common_vo\english(us)\16292482.wem","8094","7,9"
"16413068","16413068.wem","th4_000_common_vo\english(us)\16413068.wem","18558","18,12"
"16526771","16526771.wem","th4_000_common_vo\english(us)\16526771.wem","40766","39,81"
"18029859","18029859.wem","th4_000_common_vo\english(us)\18029859.wem","24536","23,96"
"18903818","18903818.wem","th4_000_common_vo\english(us)\18903818.wem","13349","13,04"
"20696694","20696694.wem","th4_000_common_vo\english(us)\20696694.wem","33677","32,89"
"21773969","21773969.wem","th4_000_common_vo\english(us)\21773969.wem","58053","56,69"
"21967293","21967293.wem","th4_000_common_vo\english(us)\21967293.wem","35040","34,22"
"23415599","23415599.wem","th4_000_common_vo\english(us)\23415599.wem","85661","83,65"
"23618156","23618156.wem","th4_000_common_vo\english(us)\23618156.wem","25225","24,63"
"24774449","24774449.wem","th4_000_common_vo\english(us)\24774449.wem","21237","20,74"
"25842541","25842541.wem","th4_000_common_vo\english(us)\25842541.wem","48596","47,46"
"25982441","25982441.wem","th4_000_common_vo\english(us)\25982441.wem","16033","15,66"
"27039803","27039803.wem","th4_000_common_vo\english(us)\27039803.wem","18321","17,89"
"27253652","27253652.wem","th4_000_common_vo\english(us)\27253652.wem","68611","67"
"27512562","27512562.wem","th4_000_common_vo\english(us)\27512562.wem","46911","45,81"
"27985417","27985417.wem","th4_000_common_vo\english(us)\27985417.wem","33967","33,17"
"28006126","28006126.wem","th4_000_common_vo\english(us)\28006126.wem","32419","31,66"
"28391928","28391928.wem","th4_000_common_vo\english(us)\28391928.wem","11081","10,82"
"28397653","28397653.wem","th4_000_common_vo\english(us)\28397653.wem","2186","2,13"
"28899013","28899013.wem","th4_000_common_vo\english(us)\28899013.wem","19941","19,47"
"30052689","30052689.wem","th4_000_common_vo\english(us)\30052689.wem","18010","17,59"
"31296218","31296218.wem","th4_000_common_vo\english(us)\31296218.wem","21819","21,31"
"31508959","31508959.wem","th4_000_common_vo\english(us)\31508959.wem","57344","56"
